Stories,FinSqft,Bedrms,Baths,LotSize,SaleDate,month,SalePrice,Ald,Age,FullBase,Attic,FIREPLACE,AIR_CONDITIONING,Garage,X,Y
1.5,1772,4,2.5,9920,2012,12,180000,5,63,1,0,1,1,1,2527058.64,399047.8304
1,1609,4,2.5,5000,2012,8,161500,5,59,1,1,0,0,1,2529263.322,396993.9485
1,1573,3,1.5,7800,2012,3,190000,5,60,1,1,0,1,1,2526066.83,398884.2384
1,1550,3,1.5,9720,2012,11,170000,5,60,1,1,1,1,1,2527700.335,398732.9198
1,1530,4,2,4800,2012,4,152000,5,62,1,1,0,1,1,2531794.548,398998.4795
1,1512,3,1,4800,2012,3,136000,5,64,1,1,0,1,1,2531272.891,399310.0028
1,1502,3,1.5,6150,2012,11,161500,5,60,1,1,0,1,1,2526390.545,399521.1046
1,1477,3,1,7750,2012,8,110000,5,57,1,1,1,1,1,2525121.292,402877.008
1,1467,3,1.5,4800,2012,8,127500,5,63,1,1,0,1,1,2531274.618,399190.2336
1,1465,3,1,6250,2012,10,132000,5,67,1,1,0,1,1,2527775.415,397360.332
1,1447,4,1,6240,2012,6,152000,5,62,1,1,0,0,1,2526102.782,398135.3405
1,1442,3,1.5,5040,2012,1,142500,5,65,1,1,0,1,1,2531626.623,396011.367
1,1404,3,2,7150,2012,2,108000,5,60,1,1,0,1,1,2525629.62,395212.55
1.5,1402,3,1.5,5355,2012,5,152000,5,62,1,0,0,1,1,2530815.589,399448.8094
1,1400,4,2,7320,2012,7,156000,5,62,1,1,0,1,1,2529821.161,397085.0297
1,1386,4,1,5000,2012,6,139000,5,61,1,1,0,1,1,2528074.509,398682.6464
1,1354,3,1.5,5750,2012,5,160000,5,60,1,1,0,1,1,2527632.75,395943.155
1,1351,4,2,6000,2012,5,177500,5,60,1,1,0,1,1,2525910.523,400622.8024
1,1338,3,2,7000,2012,1,113000,5,63,1,1,0,1,1,2528449.285,402365.3713
1,1338,3,2,8580,2012,11,119000,5,63,1,1,0,1,1,2530512.987,401076.0545
1,1338,3,1.5,5120,2012,6,128000,5,64,1,1,0,1,1,2531509.894,396339.4199
1,1336,3,1,6307,2012,6,116500,5,60,1,1,0,0,1,2526419.711,399670.1765
1.5,1332,3,1.5,4800,2012,6,102000,5,60,1,0,0,1,1,2528465.465,396650.731
1,1329,3,1,4838,2012,6,107500,5,62,1,1,0,1,1,2530955.888,399312.1826
1,1308,3,1.5,6000,2012,6,148000,5,62,1,1,0,1,1,2526519.297,400345.7576
1,1304,3,1,6000,2012,7,74000,5,56,1,1,0,1,1,2531676.127,408111.7722
1,1304,3,1,5400,2012,6,164000,5,53,1,1,0,1,1,2526540.024,399677.5958
1.5,1301,3,1,5760,2012,7,136500,5,64,1,0,0,0,1,2530836.051,396161.767
1,1298,4,1.5,5000,2012,7,143000,5,62,1,1,0,1,1,2527690.193,400138.4903
1,1294,3,1,5632,2012,4,117900,5,65,1,1,0,1,1,2530310.215,396243.6613
1,1288,3,2,5000,2012,10,134900,5,60,1,1,0,1,1,2529044.7,399536.8333
1,1275,3,1,4800,2012,5,77500,5,61,1,1,0,1,1,2531144.407,398681.5278
1,1273,3,1,4800,2012,6,142000,5,61,1,1,0,1,1,2528580.36,397542.9043
1.5,1271,4,1.5,5120,2012,4,83000,5,56,1,1,0,1,1,2528745.107,404035.0167
1,1259,3,2,4838,2012,5,101500,5,62,1,1,0,1,1,2530952.232,399517.2288
1,1256,4,1.5,6250,2012,3,95000,5,64,1,1,0,1,1,2527581.256,397713.1828
1,1251,4,1.5,5474,2012,3,90000,5,65,1,1,0,1,1,2530826.136,398877.7674
1.5,1251,3,2,5000,2012,8,138500,5,62,1,0,0,0,1,2527830.61,400302.8593
1,1251,3,1.5,7200,2012,3,90000,5,60,1,1,1,1,1,2525878.245,398998.515
1,1246,3,1,5760,2012,5,120000,5,63,1,0,1,1,1,2530651.826,395928.7744
1,1243,3,1,5000,2012,12,116900,5,60,1,1,0,1,1,2528803.971,396465.9912
1,1235,4,2,4687,2012,5,112000,5,60,1,1,0,1,1,2526666.138,401271.8605
1,1226,3,2,5360,2012,9,147425,5,64,1,1,0,1,1,2531273.438,395807.1861
1,1224,3,1,4950,2012,10,149500,5,60,1,1,0,1,1,2529844.161,395895.1883
1,1223,2,1,5040,2012,11,147000,5,62,1,0,0,1,1,2528492.279,395696.6237
1,1221,4,2.5,6000,2012,1,82000,5,57,1,1,0,1,1,2530305.082,406740.5208
1,1221,2,2,5400,2012,10,87000,5,65,1,1,0,1,1,2528362.398,400168.7726
1,1210,3,1,6000,2012,12,112000,5,56,1,1,0,1,1,2524605.223,400122.8297
1,1209,4,1.5,5000,2012,5,135500,5,61,1,1,0,1,1,2527531.196,399288.9955
1,1205,3,1.5,5120,2012,3,150700,5,61,1,1,0,1,1,2530827.935,396551.4349
1.5,1188,4,1.5,5080,2012,10,93000,5,60,1,0,0,1,1,2528987.671,401760.7819
1,1186,3,2,5376,2012,4,83000,5,63,1,1,0,1,1,2531470.914,398537.7172
1,1181,3,1,4800,2012,8,88500,5,59,1,1,0,1,1,2525325.13,402338.2811
1,1176,3,1,4800,2012,12,105000,5,59,1,1,0,0,1,2531885.575,401406.6774
1,1176,4,1,5000,2012,10,115000,5,62,1,1,0,1,1,2528117.422,397300.7373
